column name	Tag Name
active_military_lif	first_name
active_military_lui	middle_name
adults	last_name
age_children_10_15	alias
age_children_10_15	date_of_birth
age_code_hh	gender
aind65hh	height
aindhhpop	weight
all_types_ai	eye_color
all6160a_pct	other_physical
all6160b_pct	signature
all6200a_pct	nationality
all6200b_pct	country_of_birth
all6230a_pct	ethnic_origin
all6230b_pct	leisure_interests
bb_contribute_to_charity_bin	languages
bb_contribute_to_charity_bin	photograph
bb_contribute_to_charity_bin	union_member
all6280a_pct	criminal_convictions
all6280b_pct	vehicle_info
dst_dwelling_type_rollup	drivers_license_num
enhanced_est_income_v4_bin	federal_identifier
alternative_ai	passport_num
amx_prem_lif	alien_registration_num
amx_reg_lif	national_identity_card
animal_welfare_ai	national_id
anml_welfr_cntrbtr_lif	food_plan_id
apparel_accessories_lif	service_address
expendableincomerank_bin	tel_num
apparel_lif	email_address
	fax_num
	account_name
	social_media_handle
	ip_address
	mac_address
	serial_num
	other_digital
	medical_record_num
	health_plan_beneficiary
	medical_treatment_info
	medical_diagnosis_info
	medical_history
	medical_payment_info
	medical_claims_data
	medical_images_metadata
	prescription_num
	health_insurance_num
	medical_equipment
	family_health_history
	credit_card_num
	credit_card_expiry
	credit_card_track
	credit_card_emv
	credit_card_cvv
	credit_card_pin
	race
	religion
	age
	sex
	gender_identity
	sexual_orientation
	pregnancy
	citizenship
	genetic_info
	marital_status
	familial_status
	num_of_children
	disability_info
	military_status
	political_affiliation
	domestic_violence_history
	personal_other
	personal_property_records
	customer_purchase_history
	billing_address
	bank_account_number
	credit_history
	financial_transaction_history
	insurance_claim_history
	salary_info
	compulsory_employee_salary_deductions
	voluntary_employee_salary_deductions
	full_name
	customer_account_num
	password
	password_reset_secret
	phone_logs
	email_logs
	calendar_logs
	contact_list
	communication_transcript
	social_media_activity
	media_storage
	browsing_history
	search_history
	cookie_id
	clickstream
	app_usage
	ad_interaction_data
	streaming_logs
	service_config_other
	service_use_quantity_other
	service_use_quality_cpni
	telemetry_other
	rfid_usage
	alarm_pin
	bio_fingerprint
	voiceprint
	voice_recording
	facial_imagery
	facial_recognition
	retinal_scan
	vein_pattern
	keystroke_pattern
	gait_pattern
	sleep_data
	health_data
	exercise_data
	gps_location_other
	employee_location
	service_location
	sensory_audio
	sensory_electronic
	sensory_visual
	sensory_thermal
	sensory_olfactory
	sensory_attitudes
	education_degree
	education_licenses
	education_record
	household_age
	household_income
	household_persons
	household_cars
	household_college_education
	household_type
	employment_title
	employment_id_num
	employment_job_code
	employment_visa_status
	employment_authorization_status
	employment_i9
	employment_drug_test_results
	employment_references
	employment_background_checks
	employment_taxpayer_id_num
	employment_workers_comp_claims
	employment_payroll_records
	employment_attendance_records
	employment_benefits_records
	employment_performance_records
	consumer_preferences
	consumer_characteristics
	consumer_psych_trends
	consumer_behavior
	consumer_intelligence
	consumer_abilities
	consumer_aptitudes
	consumer_public_info
	comments_notes
	dwelling_thirdparty
	language_thirdparty
	transcript_agent
	gps_location_cpni
	streaming_logs_advanced
	app_usage_advanced
	consumer_char_thirdparty
	date_of_birth_thirdparty
	device_info_advanced
	gender_thirdparty
	phone_equip_ids
	service_config_cpni
	signature_details
	telemetry_xhome
	xfinity_voice_logs
	xhome_advanced
	account_identifier
	phone_financial_cpni
	agent_escalated_info_expected
	agent_escalated_date_provided
